attendance,day,p_nr,p_id,pre_survey,seat_nr,glass_nr,phone_nr,watch_nr,tablet_nr,notes,studyResultId.pre,consent_checkbox_1,consent_checkbox_2,consent_checkbox_3,consent_checkbox_4,consent_checkbox_5,consent_checkbox_6,age,vision,hearing,naive,base_ios_john,base_ios_allen,base_ios_anna,base_pd1,base_pd2,base_ec1,base_ec2,base_pd3,base_ec3,base_pd4,base_ec4,base_pd5,base_pd6,base_ec5,base_pd7,base_ec6,base_pd8,open4,open8,open12,exercise_stren,exercise_moderate,exercise_mild,income,education,base_tpb8,base_tpb9,base_tpb4,base_nam5,base_tpb2,base_tpb12,base_tpb10,base_nam2,base_nam3,base_nam10,base_nam12,base_nam4,base_tpb3,base_tpb7,base_nam9,base_nam1,base_tpb1,base_tpb5,base_nam7,base_tpb6,base_nam8,base_tpb11,base_nam6,base_nam11,base_intent_mailing,base_intent_flyer,base_intent_donation,open1,open6,open11,iri2,iri4,iri6,iri9,iri10,iri13,iri14,iri17,iri18,iri19,iri20,iri22,iri24,iri27,exercise_sweat,omsi,familiarity,liking,motivation_curious,motivation_interested,motivation_helpresearch,motivation_enjoy,relationship_researcher,identity_woman,experience_none,politics,motivation_other,relationship_none,identity_none,motivation_socialjustice,identity_poc,identity_lgbq,experience_disability,identity_NA,identity_genderdiverse,experience_charges,experience_NA,relationship_artist,experience_unsheltered,identity_indigenous,NA_count.pre,check_toofast_base,base_empathy_sd,base_social_justice_sd,open_sd,iri_sd,base_problem_awareness_sd,base_empathic_concern,base_personal_distress,base_problem_awareness,base_ascribed_responsibility,base_personal_norm,base_attitude,base_subjective_norm,base_behavioural_control,base_behavioural_intention,trait_openness,trait_personal_distress,trait_empathic_concern,flyer,perfo_emotion1,perfo_emotion2,perfo_emotion3,perfo_emotion4,perfo_emotion5,perfo_emotion6,perfo_describe1,perfo_describe2,perfo_describe3,perfo_describe4,perfo_describe5,perfo_describe6,perfo_describe7,perfo_describe8,perfo_describe9,perfo_describe10,perfo_enjoy,perfo_interest,perfo_moved,perfo_insight,perfo_concentration,perfo_chills,perfo_tears,perfo_reengage,perfo_duration,perfo_understand_john,perfo_understand_allen,perfo_ios_john,perfo_ios_allen,perfo_ios_anna,perfo_ios_inperson,perfo_ios_remote,perfo_pd1,perfo_pd2,perfo_ec1,perfo_ec2,perfo_pd3,perfo_ec3,perfo_pd4,perfo_ec4,perfo_pd5,perfo_pd6,perfo_ec5,perfo_pd7,perfo_ec6,perfo_pd8,perfo_nam2,perfo_nam3,perfo_nam4,perfo_nam1,perfo_intent_mailing,perfo_intent_flyer,perfo_intent_donation,docu_emotion1,docu_emotion2,docu_emotion3,docu_emotion4,docu_emotion5,docu_emotion6,docu_enjoy,docu_interest,docu_moved,docu_insight,docu_concentration,docu_chills,docu_tears,docu_reengage,docu_duration,docu_understand_john,docu_understand_allen,docu_understand_anna,docu_ios_john,docu_ios_allen,docu_ios_anna,docu_ios_inperson,docu_ios_remote,docu_pd1,docu_pd2,docu_ec1,docu_ec2,docu_pd3,docu_ec3,country,priorknowledge,docu_pd4,docu_ec4,docu_pd5,docu_pd6,docu_ec5,docu_pd7,docu_ec6,docu_pd8,docu_nam2,docu_nam3,docu_nam4,docu_nam1,docu_intent_mailing,docu_intent_flyer,docu_intent_donation,final_tpb8,final_tpb9,final_tpb4,final_nam5,final_tpb2,final_tpb12,final_tpb10,final_nam10,final_nam12,final_tpb3,final_tpb7,final_nam9,final_tpb1,final_tpb5,final_nam7,final_tpb6,final_nam8,final_tpb11,final_nam6,final_nam11,orderpreference,caffeine,followup,feedback,speaker,video_quality,video_fluency,camera_frame,sound_quality,base_emotion1,base_emotion2,base_emotion3,base_emotion4,base_emotion5,base_emotion6,base_ios_inperson,base_ios_remote,mailing,NA_count.event,time1,time2,time3,check_toofast1,check_tooslow1,check_toofast2,check_tooslow2,check_toofast3,check_tooslow3,studyResultId.event,glasses_impact,donation_click,post_donation,donation_amount,perfo_empathy_sd,docu_empathy_sd,base_affect_sd,perfo_affect_sd,docu_affect_sd,perfo_experience_sd,docu_experience_sd,final_social_justice_sd,docu_problem_awareness_sd,perfo_problem_awareness_sd,caffeine_none,mailing_presubsribed,base_pleasure,base_awake,base_tense,perfo_pleasure,perfo_awake,perfo_tense,perfo_empathic_concern,perfo_personal_distress,perfo_problem_awareness,perfo_behavioural_intention,docu_pleasure,docu_awake,docu_tense,docu_empathic_concern,docu_personal_distress,docu_problem_awareness,docu_behavioural_intention,final_ascribed_responsibility,final_personal_norm,final_attitude,final_subjective_norm,final_behavioural_control,order,base_ios_factorscore,docu_ios_factorscore,perfo_ios_factorscore
in-person,0,01,sub-in001,online,B3,G001,BL001,W001,T001,NA,292,1,1,1,1,1,1,61,1,1,1,1,2,1,4,5,7,6,5,1,3,6,5,1,5,1,5,3,5,5,5,0,3,3,NA,6,1,5,6,4,6,4,5,4,3,4,3,3,6,2,4,3,4,2,3,5,4,5,3,5,2,4,4,5,4,4,4,5,5,5,4,4,4,4,5,3,5,4,2,2,2,2,5,6,NA,1,1,NA,1,1,1,5,I love Dr. Fink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,FALSE,1.9792883614022536,1.292097391652684,1.8618986725025255,1.4600918230947435,0.957427107756338,5,3.375,3.25,3.5,4,5.5,2.5,4.75,3.3333333333333335,4.666666666666667,3.4285714285714284,4.571428571428571,1,2,1,4,4,3,1,Creative,Interesting,Thought provoking,Intelligent,Socially relevant,Multi-sensory,NA,NA,NA,NA,7,7,4,4,7,1,1,6,4,1,1,1,2,1,2,1,3,5,6,5,5,1,3,6,3,3,5,2,6,2,5,4,4,5,1,4,2,2,2,4,4,3,1,6,6,3,3,6,1,1,3,5,1,1,1,1,2,1,2,1,4,5,7,5,4,1,NA,2,2,7,2,3,4,2,6,3,5,4,5,5,2,4,3,2,6,7,4,6,4,5,5,2,6,4,3,5,4,3,5,4,4,3,6,-1,NA,1,You all did an outstanding job,NA,NA,NA,NA,NA,2,2,4,3,4,1,2,1,0,9,5.511433333333334,5.2096833333333334,5.470183333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,991,1,NA,0,NA,1.6854255666327542,1.8999710813299528,1.2110601416389966,1.378404875209022,1.2110601416389966,2.559994419636775,2.1339098923270936,1.3917047478769187,0.5,0.5773502691896257,1,0,3,2,-1,3,1,-3,4.833333333333333,3.25,4.5,2.3333333333333335,3,1,-2,5,3.125,4.75,3,3.5,4,6,3.75,4.75,film-perfo,-0.7871379569587378,-0.7871379569587378,-0.7871379569587378
in-person,0,02,sub-in002,paper,B4,G002,BL002,W002,T002,"pre-survey incomplete, might have filled out after the event started",2968,1,1,1,1,1,NA,23,1,1,1,1,1,1,1,2,6,3,NA,4,1,3,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,6,7,2,1,6,5,5,4,5,6,2,4,6,7,2,5,3,4,4,5,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,1.4366984945013914,1.6128048862585955,NA,NA,1.4142135623730951,3.3333333333333335,1.4285714285714286,5.5,5,4.25,6.5,3,2.75,3.3333333333333335,NA,NA,NA,1,2,1,3,2,1,1,Immersive,Real,Poetic,Metaphorical,Percussion,Unique instruments,Room of imagination,Blank space,Educational,Social awareness,5,7,4,3,4,2,1,6,4,2,2,5,5,5,6,4,1,2,7,3,1,4,1,3,1,1,2,1,5,3,7,6,5,7,4,4,4,3,2,2,1,2,3,3,5,2,3,3,1,1,2,7,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,7,6,6,4,4,5,4,6,2,5,6,2,5,3,5,4,5,5,1,NA,1,Volume and brightness of the documentary were both above my comfort level.,NA,NA,NA,NA,NA,4,2,1,1,3,3,3,2,NA,5,98.29006666666666,2.7795666666666667,4.3586,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1000,2,NA,NA,NA,1.8292495308606331,NA,1.2110601416389966,0.816496580927726,0.752772652709081,2,1.3093073414159542,1.4327007988227578,NA,2.362907813126304,1,1,-2,-1,1,2,-1,-1,4,1.375,6.25,4,-1,-1,1,NA,NA,NA,NA,5.25,4.75,6.25,2.25,4,film-perfo,-1.0400446205192042,0,1.6528304442537738
in-person,0,03,sub-in003,online,B5,G003,BL003,W003,T003,Replaced tablet at ckpt_15,355,1,1,1,1,1,1,38,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,0,6,4,3,5,4,7,7,4,7,5,4,6,6,4,4,2,6,4,5,4,6,5,5,6,6,3,3,5,7,5,3,1,5,5,5,5,2,5,2,2,5,2,5,2,5,5,2,1,3,2,1,6,NA,NA,1,1,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,FALSE,0,1.4332240069615965,2.065591117977289,1.7032612545052803,1.914854215512676,7,7,4.5,4.5,4.5,6.5,4.75,4.75,5,4.333333333333333,1.8571428571428572,5,1,2,1,4,2,4,1,Inspiring,Stimulating,Intruguing,Captivating,Triggering,Felt like watching celebrities perform after seeing the film,NA,NA,NA,NA,7,7,7,7,7,5,1,7,5,1,1,5,5,4,5,1,5,7,7,5,6,3,5,7,6,3,3,4,6,4,7,6,2,6,6,6,4,3,2,4,3,3,1,6,7,4,4,6,5,1,5,6,1,1,1,5,5,6,3,1,4,6,5,5,5,2,NA,1,1,7,6,5,5,5,3,6,5,6,2,6,5,4,2,2,5,7,5,7,5,3,3,5,7,4,6,6,2,6,4,5,1,6,5,1,6,1,Impressive display of music and research,NA,NA,NA,NA,NA,3,1,4,3,3,1,1,1,1,9,0.3902,2.9893666666666667,2.6618666666666666,NA,NA,NA,NA,NA,NA,1270,1,NA,0,NA,1.4917354742965407,1.6458405781822274,1.224744871391589,1.3662601021279464,1.0327955589886444,2.138089935299395,1.8322507626258087,1.5894388284780525,2.0615528128088303,2.6299556396765835,0,0,3,0,-2,3,2,-1,5.166666666666667,5,5.25,5.333333333333333,3,0,-1,4.5,4.75,4.75,3.6666666666666665,5.5,4.75,6.75,3,3.5,film-perfo,-1.1091215122925904,1.6336929550062804,1.5338141499544948
in-person,0,04,sub-in004,online,B6,G005,BL004,W004,T004,"during intermission: ""recording failed""",676,1,1,1,1,NA,NA,25,1,1,1,2,2,1,5,6,5,4,6,3,6,5,5,5,2,4,4,4,5,5,5,4,3,7,1,5,7,7,7,6,7,5,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,3,7,7,4,7,4,5,5,5,5,4,1,5,1,4,5,2,5,2,5,3,1,1,2,2,3,5,NA,1,1,NA,1,NA,NA,7,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,18,FALSE,1.1578684470436789,1.4091681893070769,2.1908902300206643,1.650840611711114,3,3.8333333333333335,5.125,7,6.75,6.5,7,7,5.5,5,5,1.7142857142857142,4.571428571428571,1,2,1,3,2,3,1,Powerful,Moving,Intense,Transformative,Important,NA,NA,NA,NA,NA,7,7,6,5,7,4,1,7,4,1,1,4,4,5,3,2,5,7,7,3,6,3,5,7,6,5,3,4,6,4,7,7,7,7,1,5,3,3,2,3,3,3,1,5,5,4,4,6,4,1,4,4,1,1,1,3,3,3,3,2,5,7,7,4,6,2,NA,1,4,5,6,6,2,4,4,6,7,7,5,7,1,5,2,7,6,7,6,7,6,5,5,4,7,7,5,7,7,7,7,6,5,7,6,1,NA,0,NA,NA,NA,NA,NA,NA,3,1,3,3,3,1,5,2,0,11,3.2436833333333333,2.6253333333333333,2.7337,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,976,2,NA,0,NA,1.4917354742965407,1.6104057232283402,1.0327955589886444,0.8944271909999159,0.8366600265340756,2.138089935299395,1.4577379737113252,1.1652874052533586,2.8284271247461903,3,1,0,2,0,-2,2,1,-1,4.833333333333333,5.25,7,3,2,0,-1,4,5.5,6.5,2.6666666666666665,6.5,5,7,7,5.5,film-perfo,-0.4081306453801792,0.25458524303724517,0.9863780232280557
in-person,0,05,sub-in005,online,B7,G010,BL005,W005,T005,NA,343,1,1,1,1,1,1,26,1,1,1,1,1,4,1,2,3,2,2,1,1,3,5,2,1,6,3,3,4,4,3,0,1,7,NA,6,4,3,7,7,7,5,3,5,3,6,4,3,5,4,4,6,5,3,3,7,2,4,5,4,1,3,3,1,2,4,3,4,4,4,3,4,4,3,4,4,4,3,2,2,1,3,1,NA,NA,1,1,1,1,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,FALSE,1.5063966175050876,1.596827338774468,1.0327955589886444,0.825420305855557,1.2583057392117916,2.1666666666666665,2.75,4.25,4.25,4.5,6,4.5,3.75,2.3333333333333335,3,3.142857142857143,3.7142857142857144,1,3,2,1,1,2,2,Moving,Intense,Eye openning,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,6,5,1,2,5,3,3,2,2,3,5,3,1,3,6,4,3,2,2,5,3,3,3,2,5,5,2,6,3,6,2,5,2,3,2,2,2,1,2,4,3,5,4,5,3,1,2,5,1,1,1,2,2,3,3,2,2,2,6,3,2,2,NA,1,5,6,3,5,3,4,5,6,4,5,2,6,3,6,3,5,5,7,5,5,3,3,3,2,5,3,3,6,3,4,6,3,4,4,2,1,4,1,NA,NA,NA,NA,NA,NA,2,1,3,3,1,1,7,4,0,13,5.7218333333333335,3.044783333333333,5.106466666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,964,1,NA,0,NA,1.4468609447374663,1.6104057232283402,0.983192080250175,0.752772652709081,0.6324555320336759,1.6690459207925603,1.407885953173359,1.394538218230416,1.707825127659933,1.8929694486000912,0,0,2,-1,-2,-1,-1,1,4.166666666666667,2.75,4.25,3,0,-2,0,4.166666666666667,3.625,4.25,4,4,2.5,5.75,4.25,3.75,film-perfo,-0.6484572917346741,-0.30825184032839364,-0.23917494855500743
in-person,0,06,sub-in006,online,B8,G006,BL006,W006,T006,NA,346,1,1,1,1,1,1,26,1,1,1,2,2,3,1,5,6,6,2,3,3,7,6,5,3,3,6,3,5,5,4,0,3,7,NA,6,6,5,7,5,6,4,4,6,3,4,4,6,6,6,4,6,6,4,5,6,4,5,5,5,4,6,5,4,5,5,3,4,4,4,5,4,3,5,4,2,2,2,2,2,1,4,1,NA,1,1,1,1,NA,1,1,6,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,FALSE,1.847183778644646,0.997146927138621,1.8973665961010275,1.1766968108291045,0.5,5.166666666666667,3.5,5.25,4.75,4.25,6.25,5.5,4.5,5,4.666666666666667,3.4285714285714284,3.142857142857143,1,2,2,3,3,1,2,Moving,Eye opening,Insightful,Genius,Detailed,Creative,Warm,Hypnotizing,NA,NA,6,7,6,5,7,4,1,4,4,1,1,6,6,6,3,2,3,6,7,6,4,6,4,7,4,4,5,4,6,4,7,3,5,7,5,7,5,2,3,2,3,4,3,5,6,6,6,6,1,1,3,5,2,3,1,5,5,6,3,2,6,6,7,6,4,5,NA,1,5,7,5,5,4,4,5,4,7,3,5,7,5,7,5,5,4,7,5,6,4,4,6,4,7,4,5,6,4,4,6,4,6,4,5,1,4,1,NA,NA,NA,NA,NA,NA,2,1,3,3,2,2,5,2,1,8,5.7734,2.661016666666667,2.92595,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,952,4,NA,0,NA,1.3008872711759818,1.05090228108783,0.752772652709081,0.752772652709081,0.752772652709081,2,2.2519832529192065,1.2396943596157715,1.1547005383792515,1.1547005383792515,0,0,1,0,-2,1,-1,-1,6.166666666666667,4.125,5.5,5.666666666666667,-1,2,0,5.666666666666667,4.875,5.5,5.666666666666667,4.25,5,6.5,4.75,4.5,film-perfo,-0.23917494855500743,1.6336929550062804,2.196530038371919
in-person,0,07,sub-in007,online,B9,G007,BL007,W007,T007,NA,448,1,1,1,1,1,1,19,1,1,1,1,1,1,4,4,5,3,2,1,2,3,5,5,2,6,4,4,5,4,4,2,3,7,1,2,5,4,6,5,7,4,3,7,5,4,5,6,6,4,4,5,5,4,5,5,4,6,4,2,5,5,4,5,4,4,5,4,3,4,4,3,4,3,4,2,4,4,2,2,2,4,5,5,1,1,1,NA,NA,1,1,4,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,FALSE,1.4525460784051258,1.2506408613597126,1.5491933384829668,1.027105182026191,1.707825127659933,3,4,5.75,4.5,3.75,6,4.5,4.25,4.666666666666667,4.333333333333333,2.7142857142857144,4.142857142857143,0,2,2,1,1,3,3,Powerful,Emotional,Chills,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,7,7,5,7,4,3,3,2,2,2,4,1,5,5,5,5,4,3,3,3,5,2,3,5,5,4,7,7,7,7,5,5,4,3,1,2,2,2,2,6,5,6,7,4,5,1,4,5,3,3,3,1,1,1,4,1,5,5,6,6,2,1,NA,2,2,2,4,2,2,6,6,5,7,6,6,6,4,5,4,4,4,7,6,7,5,5,5,6,7,5,4,6,5,7,7,5,4,6,5,1,10,1,NA,NA,NA,NA,NA,NA,2,1,3,3,2,1,4,1,0,13,2.8477166666666665,1.5958,2.03515,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,943,2,NA,0,NA,1.071611705960535,1.9158104473902606,0.8944271909999159,0.8944271909999159,0.6324555320336759,0.7440238091428449,1.8322507626258087,1.1002392084403616,2.217355782608345,3,0,0,2,0,-2,-2,1,1,4,4.125,7,4.666666666666667,0,-1,-1,3.8333333333333335,3.875,6.25,4.333333333333333,6,5,6.75,5.25,4.5,film-perfo,-1.0055061746325111,-1.0055061746325111,-0.3581912428542864
in-person,0,08,sub-in008,paper,B10,G008,BL008,W008,T008,pre-survey incomplete,2971,1,1,1,1,1,NA,57,1,1,1,1,1,1,4,2,6,1,3,1,2,6,5,2,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,5,6,4,4,6,5,5,4,5,7,6,4,7,7,5,5,7,3,7,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,Lauren rocks,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,1.7478401113789142,1.6364787435413508,NA,NA,1.707825127659933,3.1666666666666665,3.125,5.75,4.25,4.5,6.75,4.75,4.75,4,NA,NA,NA,1,1,3,4,1,4,3,Moving,Impactful,Thoughtful,Careful,Compassionate,Strong,NA,NA,NA,NA,7,7,6,3,7,1,2,5,4,1,1,5,5,4,4,1,6,6,7,1,5,3,5,7,5,6,1,7,7,5,7,7,6,6,2,2,6,2,3,4,1,3,2,5,6,5,6,7,2,7,6,5,1,1,1,3,4,5,4,1,7,5,6,4,7,4,NA,1,5,7,7,6,4,7,7,7,7,7,6,6,3,4,7,4,5,7,5,7,3,5,5,3,7,6,6,6,5,7,5,6,3,7,4,1,5,0,NA,NA,NA,NA,NA,NA,4,4,3,1,3,4,1,1,0,10,2.702733333333333,2.2340166666666668,2.729,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,934,3,NA,0,NA,2.05554730553075,1.2688144505364485,1.1690451944500122,1.3662601021279464,1.0488088481701516,2.434865792722759,1.6035674514745464,1.2732056517228265,2.70801280154532,2.70801280154532,0,0,-1,-1,3,1,3,2,4.333333333333333,5.625,6.5,3.3333333333333335,2,1,2,5.333333333333333,6.375,6.5,4.666666666666667,6.25,4.5,6.75,5,4,film-perfo,-1.1091215122925904,0.7455244951962696,1.4992757040678018
in-person,0,09,sub-in009,online,B11,G009,BL009,W009,T009,"after doc said ""failed to record""",853,1,1,1,1,1,NA,20,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,2,3,2,2,3,3,3,2,4,4,4,3,3,2,4,3,4,3,2,2,4,3,4,3,2,1,2,4,4,4,4,3,4,2,2,2,3,4,3,2,3,3,2,2,3,1,2,1,NA,1,1,NA,1,NA,NA,1,4,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,0.2672612419124244,0.873803618402192,0.408248290463863,0.646206172658864,0.5,2,2.125,3.75,2.75,3,2.5,3.25,2.75,2.3333333333333335,3.1666666666666665,2.5714285714285716,2.857142857142857,1,3,3,2,2,3,2,Mesmerizing,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,5,2,1,3,5,4,4,1,1,1,2,1,4,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,3,4,1,3,4,3,3,2,2,2,2,3,3,2,4,2,1,1,2,5,4,4,4,1,1,1,3,1,3,2,2,2,2,2,NA,1,2,2,2,2,2,2,2,2,4,4,3,4,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,1,NA,0,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,3,1,0,15,2.57615,1.7713333333333334,1.4087666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,925,4,NA,NA,NA,0.5789342235218394,0.2672612419124244,0.752772652709081,0.5477225575051661,0.5163977794943222,1.5059406173077154,1.0350983390135313,0.30779350562554625,0.5,0.5,1,0,1,-2,0,0,0,1,2,2.375,3.75,2.6666666666666665,0,-1,1,2,2.125,3.75,2.6666666666666665,3.25,3,3,3,3.25,film-perfo,-1.0400446205192042,-1.0400446205192042,-1.0745830664058973
in-person,0,10,sub-in010,paper,B12,G004,BL010,W010,T010,pre-survey incomplete,2974,1,1,1,1,1,1,19,1,1,1,3,2,3,2,3,4,4,3,4,2,4,4,3,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,7,5,5,6,5,5,4,6,7,4,5,6,6,5,5,6,6,2,4,6,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,0.8925823753039809,0.992851945536184,NA,NA,1.5,4,2.625,5.75,5,5,6.5,5.25,4.5,4.333333333333333,NA,NA,NA,1,3,1,2,2,2,1,Abstract,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,4,1,1,4,5,3,3,2,2,3,3,3,3,3,4,4,2,2,2,4,2,2,2,2,4,4,4,5,6,6,4,4,4,3,2,2,2,2,2,2,3,3,3,4,2,1,2,5,2,2,2,2,2,3,3,3,2,2,4,4,2,2,NA,1,2,4,2,2,4,2,3,2,5,5,6,6,2,4,4,6,6,6,4,6,4,4,4,4,6,5,5,5,5,4,6,4,4,4,4,-1,NA,0,NA,NA,NA,NA,NA,NA,2,2,2,2,3,1,3,3,0,15,2.2801,1.8098166666666666,1.6375666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,919,2,NA,NA,NA,0.9492622930986467,0.9287827316640651,0.6324555320336759,0.752772652709081,0.408248290463863,1.3093073414159542,0.9258200997725514,0.8944271909999159,1.4142135623730951,1.5,1,0,1,1,0,1,-1,-1,3.3333333333333335,2.5,5.25,4,0,-1,0,3.5,2,5.5,3.3333333333333335,4,4.25,5.75,5.5,4.5,film-perfo,-0.03285986640991435,-0.30825184032839364,-0.30825184032839364
